Job,Release,Identifier,Job Name,Description,Stage,Stage Group,DB Job Comp,DB Invoiced,CSV Job Comp,CSV Invoiced
440,305,440-305,Evergreen - Outlook Green Valley Ranch,Pour Stop Angle Install Bld 7,Shipping completed,COMPLETE,,,X,X
440,306,440-306,Evergreen - Outlook Green Valley Ranch,Pour Stop Angle Install Bld 8,Shipping completed,COMPLETE,,,X,X
440,307,440-307,Evergreen - Outlook Green Valley Ranch,Pour Stop Angle Install Bld 9,Shipping completed,COMPLETE,,,X,X
440,308,440-308,Evergreen - Outlook Green Valley Ranch,Pour Stop Angle Install Bld 10,Shipping completed,COMPLETE,,,X,X
440,309,440-309,Evergreen - Outlook Green Valley Ranch,Pour Stop Angle Install Bld 11,Shipping completed,COMPLETE,,,X,X
440,385,440-385,Evergreen - Outlook Green Valley Ranch,Pool Area Ramp Rail,Shipping completed,COMPLETE,,,X,X
440,401,440-401,Evergreen - Outlook Green Valley Ranch,Pool Area Site Rails,Shipping completed,COMPLETE,,,X,X
440,407,440-407,Evergreen - Outlook Green Valley Ranch,Bld 2 Knee Wall Replacement Pannels,Shipping completed,COMPLETE,,,X,X
440,744,440-744,Evergreen - Outlook Green Valley Ranch,Cabanas,Shipping completed,COMPLETE,,MFP,X,X
440,755,440-755,Evergreen - Outlook Green Valley Ranch,TV Wall Trellis,Shipping completed,COMPLETE,,MFP,X,X
440,756,440-756,Evergreen - Outlook Green Valley Ranch,Shade Structure B,Shipping completed,COMPLETE,,MFP,X,X
440,757,440-757,Evergreen - Outlook Green Valley Ranch,Game Bar Frame,Shipping completed,COMPLETE,,MFP,X,X
440,761,440-761,Evergreen - Outlook Green Valley Ranch,Shade Structure A,Shipping completed,COMPLETE,,MFP,X,X
440,763,440-763,Evergreen - Outlook Green Valley Ranch,Shade Structure C,Shipping completed,COMPLETE,,MFP,X,X
440,766,440-766,Evergreen - Outlook Green Valley Ranch,Trellis At Clubhouse,Shipping completed,COMPLETE,,MFP,X,X
440,907,440-907,Evergreen - Outlook Green Valley Ranch,Bld 5 Ultralox Remaing Install P1 of 2,Shipping completed,COMPLETE,,,X,X
440,V548,440-V548,Evergreen - Outlook Green Valley Ranch,Game Bar Base Plates ,Shipping completed,COMPLETE,,,X,X
450,111,450-111,Marrow - Sandstone Ranch,Missing Amenity Saddle,Shipping completed,COMPLETE,,,X,X
450,113,450-113,Marrow - Sandstone Ranch,Retaining Wall West,Shipping completed,COMPLETE,,,X,X
